administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
1.0,2.3978952727983707,5,7.374629015218945,30.0,6.646390514847729,0.013705647056111967,0.02176149178151271,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
4.0,4.347111638602382,0,0.0,11.0,4.736198448394496,0.0249852526939086,0.06109509935981083,0.0,Sep,MACOS,Safari,North America,Instagram ads,Returning_Visitor,True,False
0.0,0.0,0,0.0,29.0,6.5638555265321274,0.007074913671961985,0.03440142671733232,0.0,May,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,False,False
2.0,4.448973335356936,0,0.0,8.0,5.236441962829949,0.011829751753577221,0.044973365642731196,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
4.0,4.174387269895637,0,0.0,14.0,6.118097198041348,0.0,0.011928570865273812,0.0,Dec,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,False,False
0.0,0.0,0,0.0,3.0,6.4692503167957724,0.06456977064930007,0.0852598439508234,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
4.0,3.4339872044851463,0,0.0,19.0,7.444248649496705,0.0,0.010939940038334263,0.0,May,MACOS,Safari,North America,Google search,New_Visitor,False,False
0.0,0.0,0,0.0,1.0,2.995732273553991,0.0,0.09531017980432493,0.0,Mar,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
6.0,4.241326752570746,2,4.204692619390966,37.0,6.710523109452428,0.01980262729617973,0.042101176018635326,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,6.710523109452428,0.0,0.06485097231961627,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,7.0,5.093750200806762,0.057041740367196996,0.11422114409002286,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,8.0,5.736572297479192,0.0,0.023716526617316065,0.0,Oct,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
0.0,0.0,0,0.0,45.0,6.663132695990803,0.0074720148387010564,0.018821754240587667,2.714694743820879,Dec,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,3.0,4.48863636973214,0.0,0.016857117066422806,0.0,Mar,Android,Google Chrome,Oceania,Google search,Returning_Visitor,True,False
0.0,0.0,0,0.0,1.0,6.853299093186078,0.021859334352893528,0.07510747248680548,0.0,June,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,21.0,6.837332814685591,0.0,0.005982071677547469,0.0,Oct,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,False,False
0.0,0.0,2,3.597312260588446,25.0,7.422373700986824,0.0,0.003992021269537457,0.0,May,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,23.0,6.269096283706261,0.004390348301292854,0.028587456851912472,3.996364153861897,May,Windows,Google Chrome,South America,Twitter,Returning_Visitor,False,True
7.0,4.448973335356936,0,3.5691576226137323,16.0,6.3835066348840055,0.008265744417032593,0.0009995003330834232,0.0,Jul,MACOS,Safari,North America,Google search,New_Visitor,True,False
0.0,0.0,0,0.0,9.0,3.6635616461296463,0.0,0.04401688541677426,0.0,Mar,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,12.0,5.955837369464831,0.0,0.01980262729617973,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,True,False
6.0,4.194189897191817,4,3.152736022363656,210.0,7.084583513605234,0.019116117192230143,0.035367143837291344,0.0,Sep,Windows,Google Chrome,South America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,1.0,5.58724865840025,0.01656208829897823,0.024692612590371414,0.0,Nov,Android,Yandex,Southern Africa,Google search,Returning_Visitor,True,False
1.0,4.04305126783455,0,0.0,24.0,7.160845906664299,0.0,0.015873349156290163,3.2308043957334744,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,True,True
1.0,1.3862943611198906,0,0.0,20.0,5.8944028342648505,0.0,0.015873349156290163,0.0,Oct,MACOS,Safari,North America,Google search,New_Visitor,True,False
4.0,5.7670702138921195,0,0.0,62.0,7.3310603052186325,0.005286004429237438,0.008959741371471801,0.0,Oct,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
1.0,0.0,0,0.0,30.0,7.084583513605234,0.0,0.004987541511038968,3.7184382563554808,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,False,True
12.0,4.693846842546367,1,4.02535169073515,50.0,7.784473235736469,0.004489905272852001,0.01291622526654623,2.72785282839839,May,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,5.627621113690637,0.0,0.002995508979798371,0.0,Jul,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,16.0,4.890349128221754,0.07269268539344058,0.11955923505763925,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,0.0,0.1823215567939546,0.1823215567939546,0.0,Nov,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,5.459585514144159,0.0,0.014888612493750559,0.0,Dec,Android,Google Chrome,North America,Google search,New_Visitor,True,False
5.0,4.238444906195857,1,3.0155349008501706,8.0,5.303304908059076,0.0,0.004987541511038968,0.0,Oct,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,False,False
5.0,4.119037174812473,0,0.0,40.0,7.553810852008231,0.00876150566857267,0.023716526617316065,0.0,May,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
11.0,5.574947710632276,2,2.3978952727983707,25.0,6.692083742506628,0.0,0.009950330853168092,2.5494451709255714,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
0.0,4.448973335356936,0,0.0,5.0,4.672828834461906,0.03275756423817229,0.045928931888399735,0.0,Nov,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
9.0,5.181783550292085,1,3.9889840465642745,70.0,7.846198815497425,0.009653257028138346,0.025667746748577813,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,4.736198448394496,0.009950330853168092,0.03052920503482279,0.0,Nov,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,True,True
2.0,2.995732273553991,0,0.0,11.0,7.60489448081162,0.0,0.02955880224154443,1.9878743481543455,Mar,Windows,Opera,North America,Youtube channel,Returning_Visitor,False,False
0.0,0.0,0,0.0,5.0,4.74493212836325,0.0,0.02078253918252841,0.0,Dec,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,False,False
6.0,4.394449154672439,0,0.0,16.0,6.063785208687608,0.0,0.013902905168991434,3.1570004211501135,Mar,MACOS,Google Chrome,South America,Google search,New_Visitor,False,True
1.0,1.791759469228055,3,4.756459633247784,38.0,7.095893221097532,0.012521280553671691,0.04305948946044701,0.0,Dec,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
7.0,5.084505142662711,0,0.0,31.0,6.0014148779611505,0.0,0.008959741371471801,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
6.0,4.391357962102766,0,0.0,3.0,2.4849066497880004,0.0,0.058268908123975824,0.0,Dec,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,False,False
3.0,4.02535169073515,0,0.0,48.0,8.036573409707312,0.004589452333807224,0.02078253918252841,0.0,May,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
7.0,7.424612674979847,0,0.0,113.0,7.714677473800927,0.0015987213636970735,0.005982071677547469,3.462606009790799,May,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
2.0,4.07753744390572,1,2.0794415416798357,57.0,7.7336835707759,0.0,0.004987541511038968,0.0,Mar,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
3.0,2.833213344056216,2,4.561740628060756,1.0,7.370860166536716,0.0,0.01291622526654623,3.126760535960395,Nov,MACOS,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,True
0.0,0.0,0,0.0,44.0,7.003065458786462,0.0,0.023716526617316065,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
0.0,0.0,0,0.0,3.0,3.828641396489095,0.03922071315328133,0.04879016416943204,0.0,May,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
2.0,2.70805020110221,0,0.0,53.0,6.501289670540389,0.03806620080645628,0.071389996086673,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
7.0,4.757891273005756,0,0.0,33.0,6.831953565565855,0.013902905168991434,0.024692612590371414,0.0,May,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
5.0,5.464114251150897,1,3.8372994592322094,12.0,5.91350300563827,0.010247316451549499,0.009950330853168092,0.0,Oct,MACOS,Safari,Oceania,Google search,New_Visitor,False,False
0.0,0.0,0,0.0,40.0,7.039660349862076,0.01980262729617973,0.055434706888100524,0.0,Nov,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,2,3.044522437723423,6.0,4.343805421853684,0.0,0.0,0.0,May,Windows,Mozilla Firefox,North America,Instagram Page,Returning_Visitor,False,False
3.0,4.51085950651685,0,0.0,25.0,6.638567789166521,0.0,0.01291622526654623,5.014627315365793,Dec,MACOS,Safari,North America,Google search,New_Visitor,False,True
3.0,4.219017388961343,1,5.982255607938568,33.0,6.5638555265321274,0.005683816468297709,0.018821754240587667,0.0,May,MACOS,Safari,Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,3.7612001156935624,0.0,0.09531017980432493,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
3.0,2.9856819377004897,0,3.5691576226137323,18.0,4.997212273764115,0.012224969622568948,0.03246719013750141,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,True
4.0,5.107156861086878,1,2.8622008809294686,8.0,5.746203190540153,0.0,0.02761516703297339,0.0,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
2.0,4.448973335356936,0,0.0,15.0,6.71174039505618,0.0,0.003992021269537457,0.0,Sep,Windows,Google Chrome,South America,Google search,New_Visitor,False,False
3.0,4.051784947803305,2,4.102643365036796,110.0,7.947678571301568,0.01439588028373234,0.04401688541677426,3.044522437723423,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
3.0,4.197201947661808,0,0.0,13.0,5.003946305945459,0.006081470315867954,0.023716526617316065,0.0,Nov,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,True,False
4.0,4.394449154672439,0,0.0,37.0,7.933796874815411,0.0,0.024692612590371414,0.0,May,iOS,Safari,South America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,22.0,6.576469569048224,0.006379606964038988,0.025667746748577813,0.0,Nov,Windows,QQ,North America,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,4.59511985013459,0.0,0.016857117066422806,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,False,False
16.0,6.669594024342314,6,5.985499290289064,36.0,7.958227192322312,0.013607003406216947,0.02078253918252841,0.8329091229351039,Nov,MACOS,Safari,Western Europe,Google search,New_Visitor,False,True
5.0,3.3758795736778655,0,0.0,155.0,8.504513138258863,0.0,0.006975613736425138,1.6486586255873816,Nov,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,True
0.0,0.0,0,0.0,13.0,4.624972813284271,0.0,0.017839918128331016,0.0,Nov,Android,Google Chrome,Western Europe,Youtube channel,New_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.1823215567939546,0.1823215567939546,0.0,Aug,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,False
1.0,3.912023005428146,0,0.0,5.0,6.741700694652055,0.0,0.026641930946421092,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
2.0,4.23410650459726,0,0.0,8.0,4.553876891600541,0.0,0.010939940038334263,0.0,Dec,Windows,Google Chrome,Africa,Google search,New_Visitor,False,False
1.0,5.298317366548036,0,0.0,1.0,7.168579897264035,0.0,0.009950330853168092,2.8390784635086144,May,Windows,Google Chrome,Asia,Bing search,Returning_Visitor,False,False
6.0,4.394449154672439,0,0.0,6.0,4.787491742782046,0.0,0.02273948696948934,0.0,Mar,Windows,Microsoft Edge,Eastern Europe,Facebook ads,Returning_Visitor,False,False
5.0,3.4657359027997265,0,0.0,42.0,7.190676034332207,0.005683816468297709,0.02273948696948934,0.0,Mar,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,True,False
1.0,5.120983351265121,0,0.0,1.0,6.507277712385012,0.00876150566857267,0.018821754240587667,0.0,May,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,True,False
7.0,6.091309882077698,0,0.0,28.0,6.154858094016418,0.0,0.007968169649176881,0.0,Mar,Windows,Google Chrome,Africa,Youtube channel,New_Visitor,True,False
1.0,4.394449154672439,1,3.258096538021482,10.0,7.05444965813294,0.014198719399812928,0.018821754240587667,0.0,May,MACOS,Safari,South America,Twitter,Returning_Visitor,False,False
0.0,0.0,1,0.0,15.0,6.023447592961033,0.0,0.018821754240587667,3.586292865338835,May,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,True,True
9.0,5.837924791836643,0,0.0,16.0,5.298317366548036,0.006280237957150456,0.013902905168991434,0.0,Mar,MACOS,Safari,Africa,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,5.43372200355424,0.0,0.015873349156290163,3.6838669122903918,Dec,Windows,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,False,True
0.0,0.0,2,4.350277936359301,6.0,3.258096538021482,0.06456977064930007,0.06859279146561167,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,9.0,5.111987788356544,0.06410092540652364,0.054488185284069776,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
5.0,5.148946909893768,1,0.0,362.0,9.414097209490203,0.004390348301292854,0.024692612590371414,0.7884573603642703,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,6.0,4.962844630259907,0.0,0.016857117066422806,4.0943445622221,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
0.0,0.0,0,0.0,12.0,5.4116460518550396,0.0,0.01980262729617973,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
4.0,4.983606621708336,0,0.0,7.0,5.497168225293202,0.01291622526654623,0.03246719013750141,0.0,May,MACOS,Safari,North America,Newsletter,Returning_Visitor,True,False
0.0,0.0,0,0.0,6.0,0.0,0.1823215567939546,0.1823215567939546,0.0,Oct,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
8.0,4.448973335356936,2,4.143134726391533,36.0,8.501470230951002,0.01666044089310717,0.03052920503482279,2.066862759472976,May,Windows,Google Chrome,Oceania,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,13.0,5.934894195619588,0.017938145131012998,0.03052920503482279,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,5.0,4.836281906951478,0.03275756423817229,0.04879016416943204,0.0,May,MACOS,Safari,North America,Google search,Returning_Visitor,True,False
0.0,4.448973335356936,0,0.0,5.0,5.351858133476067,0.06456977064930007,0.06859279146561167,0.0,Nov,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
2.0,4.02535169073515,3,5.8522024797744745,21.0,6.493753839851686,0.027420595575992218,0.04783732941416006,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.0,4.898461496955782,1,5.440250862436703,50.0,7.446585099157725,0.0,0.006975613736425138,2.2617630984737906,May,Android,Google Chrome,Western Europe,Bing search,Returning_Visitor,True,False
3.0,4.812184355372417,0,0.0,1.0,7.080026499922591,0.0010993954433010642,0.003992021269537457,3.624340932976365,Mar,Windows,Internet Explorer,Africa,Google search,Returning_Visitor,True,True
0.0,0.0,0,0.0,11.0,5.384495062789089,0.025082780367463243,0.060153922819747144,0.0,Dec,MACOS,Safari,Eastern Europe,Tik Tok ads,Returning_Visitor,False,False
8.0,4.290459441148391,0,0.0,44.0,7.934513463882263,0.005385472276337888,0.014888612493750559,0.0,May,iOS,Safari,North America,Google search,Returning_Visitor,False,False
3.0,3.2268439945173775,0,0.0,3.0,0.0,0.0,0.06485097231961627,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,1.0,5.556828061699537,0.004489905272852001,0.055434706888100524,4.007333185232471,May,Windows,Google Chrome,Northern Africa,Google search,Returning_Visitor,False,True
0.0,0.0,0,0.0,8.0,5.407171771460119,0.0,0.014888612493750559,0.0,June,MACOS,Safari,Northern Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,12.0,5.840641657373398,0.008662373078652587,0.017839918128331016,0.0,Nov,Android,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,24.0,7.6838639802564295,0.003493889254255838,0.014888612493750559,0.0,Nov,Windows,Google Chrome,North America,Direct Traffic,Returning_Visitor,False,False
0.0,0.0,0,0.0,37.0,5.834810737062605,0.0,0.008959741371471801,4.309455941839047,Nov,Android,Google Chrome,Western Europe,Tik Tok ads,Returning_Visitor,True,True
8.0,4.40956073446185,2,4.957703230993791,34.0,7.038783541388542,0.0,0.010939940038334263,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,False
0.0,0.0,0,0.0,5.0,7.15305163493748,0.0,0.026641930946421092,0.0,Nov,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,True
7.0,5.652489180268651,2,2.772588722239781,47.0,7.489412083508719,0.01980262729617973,0.01980262729617973,0.0,Nov,MACOS,Safari,Oceania,Google search,Returning_Visitor,False,False
14.0,5.129385762675502,4,5.460436216024472,62.0,9.191565216649849,0.003992021269537457,0.008959741371471801,3.8480176754522337,Oct,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
5.0,5.406050066350919,0,0.0,19.0,7.190676034332207,0.005087039048557209,0.04018178963283176,2.917770732084279,Nov,MACOS,Safari,North America,Google search,Returning_Visitor,False,True
0.0,0.0,0,0.0,23.0,7.005789019253503,0.0031948908965192886,0.026641930946421092,0.0,Nov,Android,Google Chrome,North America,Google search,Returning_Visitor,False,True
0.0,0.0,0,0.0,3.0,3.9318256327243257,0.0,0.024692612590371414,0.0,Dec,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
10.0,5.19133461522161,1,5.049856007249537,259.0,9.022925868116218,0.0031948908965192886,0.003992021269537457,1.3862943611198906,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0.0,0.0,0,0.0,20.0,6.824373670043086,0.0,0.002995508979798371,4.189654742026425,Nov,Android,Google Chrome,South America,Youtube channel,New_Visitor,False,True
1.0,4.672828834461906,0,0.0,27.0,7.7284157798410416,0.01143437762566317,0.03440142671733232,0.0,May,Android,Google Chrome,Oceania,Bing search,Returning_Visitor,False,False
1.0,6.120956542340736,0,0.0,38.0,7.2305631534092925,0.005783244755727361,0.02273948696948934,2.8622008809294686,Oct,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,True
0.0,0.0,0,0.0,27.0,6.726233402358747,0.0,0.013902905168991434,0.0,Dec,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
0.0,4.448973335356936,0,0.0,7.0,6.139884552226255,0.0,0.01980262729617973,0.0,May,Windows,Microsoft Edge,Western Europe,Facebook ads,New_Visitor,False,False
0.0,0.0,0,0.0,3.0,0.0,0.1823215567939546,0.1823215567939546,0.0,May,Windows,Google Chrome,Eastern Europe,Instagram Page,Returning_Visitor,False,False
1.0,1.8718021769015913,0,0.0,11.0,6.208590026096629,0.0,0.024692612590371414,4.282206299391671,Nov,Windows,Google Chrome,North America,Youtube channel,Returning_Visitor,False,False
0.0,0.0,0,0.0,6.0,3.4011973816621555,0.05202302806715181,0.06485097231961627,0.0,Mar,Windows,Google Chrome,Southern Africa,Facebook ads,Returning_Visitor,True,False
0.0,0.0,2,3.332204510175204,69.0,7.4318919168078,0.0,0.014888612493750559,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
0.0,0.0,0,0.0,1.0,6.093569770045136,0.022348403663761767,0.04305948946044701,0.0,May,MACOS,Safari,Western Europe,Bing search,Returning_Visitor,False,False
0.0,0.0,2,3.481240089335692,33.0,7.241366283322318,0.0,0.023716526617316065,2.5572273113676265,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
0.0,0.0,2,2.5649493574615367,21.0,6.996681488176539,0.009356094924025029,0.035367143837291344,1.8082887711792655,May,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
9.0,5.749923630760157,4,5.402677381872279,62.0,7.738923757439457,0.0,0.005982071677547469,2.8903717578961645,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,True,False
0.0,0.0,0,0.0,1.0,4.110873864173311,0.0,0.0,0.0,Mar,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,True,False
3.0,4.127134385045092,1,3.543853682063679,70.0,7.084583513605234,0.018821754240587667,0.023716526617316065,0.0,Jul,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
7.0,4.509026325398492,4,4.07753744390572,32.0,7.755338812846501,0.005286004429237438,0.018821754240587667,2.917770732084279,Mar,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,True
0.0,3.3978584803966405,0,0.0,129.0,8.610683534503575,0.0,0.0009995003330834232,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,True
0.0,0.0,1,1.0986122886681098,20.0,6.137727054086234,0.001698556635581512,0.025667746748577813,0.0,Nov,iOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,9.0,5.700443573390687,0.015282623531156982,0.03440142671733232,0.0,May,Android,Google Chrome,Asia,Direct Traffic,Returning_Visitor,False,False
